blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
114A,BT BATOK WEST AVE 6,28,2022,Y,BB,27,80,0,0,BUKIT BATOK,114A BT BATOK WEST AVE 6,1.34990668648416,103.745812546141
114B,BT BATOK WEST AVE 6,28,2022,Y,BB,96,54,0,0,BUKIT BATOK,114B BT BATOK WEST AVE 6,1.34971718546197,103.745403188757
161A,JLN TECK WHYE,22,2022,Y,CCK,126,42,0,0,CHOA CHU KANG,161A JLN TECK WHYE,1.37973257708917,103.759125161219
201A,WOODLEIGH LINK,13,2022,Y,TP,0,52,35,0,TOA PAYOH,201A WOODLEIGH LINK,1.34027879598611,103.871258241075
201B,WOODLEIGH LINK,13,2022,Y,TP,0,66,75,0,TOA PAYOH,201B WOODLEIGH LINK,1.34049744170183,103.872282858861
201C,WOODLEIGH LINK,13,2022,Y,TP,0,53,49,0,TOA PAYOH,201C WOODLEIGH LINK,1.33992021096888,103.872053130335
206A,WOODLEIGH LINK,14,2022,Y,TP,0,0,104,0,TOA PAYOH,206A WOODLEIGH LINK,1.3411369152006,103.872560280271
206B,WOODLEIGH LINK,14,2022,Y,TP,0,0,112,0,TOA PAYOH,206B WOODLEIGH LINK,1.34181781631173,103.872577803102
206C,WOODLEIGH LINK,14,2022,Y,TP,0,28,62,0,TOA PAYOH,206C WOODLEIGH LINK,1.34211985986244,103.872175153469
206D,WOODLEIGH LINK,14,2022,Y,TP,17,29,40,0,TOA PAYOH,206D WOODLEIGH LINK,1.34253159705871,103.872018391899
207A,WOODLEIGH LINK,14,2022,Y,TP,19,22,44,0,TOA PAYOH,207A WOODLEIGH LINK,1.34114909475888,103.871470300727
207B,WOODLEIGH LINK,14,2022,Y,TP,16,13,33,0,TOA PAYOH,207B WOODLEIGH LINK,1.34157205601148,103.871508653975
207C,WOODLEIGH LINK,14,2022,Y,TP,16,13,33,0,TOA PAYOH,207C WOODLEIGH LINK,1.34199890674489,103.87151131399
207D,WOODLEIGH LINK,14,2022,Y,TP,62,25,0,0,TOA PAYOH,207D WOODLEIGH LINK,1.34248368010726,103.871360627755
209A,CLEMENTI AVE 6,40,2022,Y,CL,0,0,76,76,CLEMENTI,209A CLEMENTI AVE 6,1.32220922708728,103.76364056113
210A,CLEMENTI AVE 6,33,2022,Y,CL,0,0,131,124,CLEMENTI,210A CLEMENTI AVE 6,1.32175018587424,103.762988191669
