blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon,name
111A,PLANTATION CRES,14,2023,Y,TG,0,0,57,52,TENGAH,111A PLANTATION CRES,1.355801154,103.7339886,PLANTATION ACRES
111B,PLANTATION CRES,14,2023,Y,TG,129,26,26,0,TENGAH,111B PLANTATION CRES,1.355456405,103.7341101,PLANTATION ACRES
111C,PLANTATION CRES,14,2023,Y,TG,0,0,21,60,TENGAH,111C PLANTATION CRES,1.355373862,103.7334482,PLANTATION ACRES
112A,PLANTATION CRES,14,2023,Y,TG,91,26,26,0,TENGAH,112A PLANTATION CRES,1.354329404,103.735169,PLANTATION ACRES
112B,PLANTATION CRES,14,2023,Y,TG,130,26,26,0,TENGAH,112B PLANTATION CRES,1.354861637,103.7346284,PLANTATION ACRES
113A,PLANTATION CRES,14,2023,Y,TG,89,26,25,0,TENGAH,113A PLANTATION CRES,1.35367162,103.7351941,PLANTATION ACRES
113B,PLANTATION CRES,14,2023,Y,TG,104,0,26,0,TENGAH,113B PLANTATION CRES,1.354042073,103.7348292,PLANTATION ACRES
114A,PLANTATION CRES,14,2023,Y,TG,0,0,40,74,TENGAH,114A PLANTATION CRES,1.354472543,103.7341569,PLANTATION ACRES
114B,PLANTATION CRES,14,2023,Y,TG,0,0,40,73,TENGAH,114B PLANTATION CRES,1.354805318,103.7338392,PLANTATION ACRES
125A,TENGAH DR,14,2023,Y,TG,91,19,36,22,TENGAH,125A TENGAH DR,1.359644634,103.735062,PLANTATION VILLAGE
125B,TENGAH DR,14,2023,Y,TG,89,18,35,22,TENGAH,125B TENGAH DR,1.359552598,103.7355427,PLANTATION VILLAGE
126A,TENGAH DR,14,2023,Y,TG,0,10,13,34,TENGAH,126A TENGAH DR,1.359286278,103.7359918,PLANTATION VILLAGE
126B,TENGAH DR,12,2023,Y,TG,18,18,39,12,TENGAH,126B TENGAH DR,1.358958782,103.7356449,PLANTATION VILLAGE
127A,PLANTATION CRES,11,2023,Y,TG,0,21,12,0,TENGAH,127A PLANTATION CRES,1.35785039,103.7343227,PLANTATION VILLAGE
127B,PLANTATION CRES,14,2023,Y,TG,0,0,21,51,TENGAH,127B PLANTATION CRES,1.358395502,103.7345295,PLANTATION VILLAGE
128A,PLANTATION CRES,15,2023,Y,TG,74,0,26,25,TENGAH,128A PLANTATION CRES,1.357932376,103.7338778,PLANTATION VILLAGE
128B,PLANTATION CRES,15,2023,Y,TG,72,0,24,24,TENGAH,128B PLANTATION CRES,1.358193333,103.7336046,PLANTATION VILLAGE
129A,PLANTATION CRES,14,2023,Y,TG,0,0,22,26,TENGAH,129A PLANTATION CRES,1.358729926,103.734084,PLANTATION VILLAGE
129B,PLANTATION CRES,14,2023,Y,TG,42,13,47,12,TENGAH,129B PLANTATION CRES,1.359058311,103.7337586,PLANTATION VILLAGE
129C,PLANTATION CRES,15,2023,Y,TG,0,0,53,61,TENGAH,129C PLANTATION CRES,1.358480944,103.733291,PLANTATION VILLAGE
131A,TENGAH GDN AVE,14,2023,Y,TG,0,0,24,46,TENGAH,131A TENGAH GDN AVE,1.356605564,103.7333656,PLANTATION GRANGE
131B,TENGAH GDN AVE,15,2023,Y,TG,46,26,39,0,TENGAH,131B TENGAH GDN AVE,1.356346199,103.7328585,PLANTATION GRANGE
131C,TENGAH GDN AVE,15,2023,Y,TG,46,26,39,0,TENGAH,131C TENGAH GDN AVE,1.355983693,103.7324985,PLANTATION GRANGE
131D,TENGAH GDN AVE,15,2023,Y,TG,0,39,48,0,TENGAH,131D TENGAH GDN AVE,1.355553584,103.7321625,PLANTATION GRANGE
132A,TENGAH GDN AVE,14,2023,Y,TG,84,0,48,0,TENGAH,132A TENGAH GDN AVE,1.356962983,103.7325006,PLANTATION GRANGE
132B,TENGAH GDN AVE,14,2023,Y,TG,0,0,36,81,TENGAH,132B TENGAH GDN AVE,1.357499181,103.7323524,PLANTATION GRANGE
132C,TENGAH GDN AVE,14,2023,Y,TG,84,0,48,0,TENGAH,132C TENGAH GDN AVE,1.356498296,103.732108,PLANTATION GRANGE
133A,TENGAH GDN AVE,15,2023,Y,TG,0,0,36,85,TENGAH,133A TENGAH GDN AVE,1.356905717,103.7317616,PLANTATION GRANGE
133B,TENGAH GDN AVE,15,2023,Y,TG,0,0,36,85,TENGAH,133B TENGAH GDN AVE,1.356337197,103.7312653,PLANTATION GRANGE
133C,TENGAH GDN AVE,15,2023,Y,TG,86,0,52,0,TENGAH,133C TENGAH GDN AVE,1.355821058,103.7314872,PLANTATION GRANGE
