blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
107A,BIDADARI PK DR,16,2021,Y,TP,0,78,52,15,TOA PAYOH,107A BIDADARI PK DR,1.33477976786287,103.872399131107
107B,BIDADARI PK DR,16,2021,Y,TP,0,0,30,48,TOA PAYOH,107B BIDADARI PK DR,1.33437155153983,103.872117221909
108A,BIDADARI PK DR,16,2021,Y,TP,0,96,60,0,TOA PAYOH,108A BIDADARI PK DR,1.33435487321818,103.871686802252
108B,BIDADARI PK DR,17,2021,Y,TP,0,0,32,30,TOA PAYOH,108B BIDADARI PK DR,1.33367208421363,103.872010744965
109A,BIDADARI PK DR,17,2021,Y,TP,0,0,32,30,TOA PAYOH,109A BIDADARI PK DR,1.33345534714887,103.872323897429
109A,CANBERRA WALK,13,2021,Y,SB,0,24,48,0,SEMBAWANG,109A CANBERRA WALK,1.4480211764862,103.830136528853
109B,BIDADARI PK DR,17,2021,Y,TP,0,0,32,30,TOA PAYOH,109B BIDADARI PK DR,1.33340680739937,103.872670321849
109B,CANBERRA WALK,13,2021,Y,SB,0,23,24,36,SEMBAWANG,109B CANBERRA WALK,1.4478383335801,103.829664870604
109C,CANBERRA WALK,13,2021,Y,SB,0,24,23,36,SEMBAWANG,109C CANBERRA WALK,1.44833180099522,103.829335079723
109D,CANBERRA WALK,13,2021,Y,SB,0,12,36,24,SEMBAWANG,109D CANBERRA WALK,1.44904350326715,103.829565161555
110A,BIDADARI PK DR,16,2021,Y,TP,0,0,97,43,TOA PAYOH,110A BIDADARI PK DR,1.33348416178983,103.873147176611
110B,BIDADARI PK DR,16,2021,Y,TP,0,0,92,40,TOA PAYOH,110B BIDADARI PK DR,1.33406825429408,103.873265936576
111A,ALKAFF CRES,16,2021,Y,TP,46,0,53,0,TOA PAYOH,111A ALKAFF CRES,1.33469497701906,103.873122770802
111B,ALKAFF CRES,16,2021,Y,TP,77,0,37,0,TOA PAYOH,111B ALKAFF CRES,1.3350053450689,103.873330554771
112A,ALKAFF CRES,16,2021,Y,TP,75,0,37,0,TOA PAYOH,112A ALKAFF CRES,1.33543941437138,103.873403171831
112B,ALKAFF CRES,16,2021,Y,TP,0,15,75,0,TOA PAYOH,112B ALKAFF CRES,1.33586231353671,103.873504003726
